55,삼양컴텍,"18,210",930,-4.86%,"2,131,446","39,475","18,290","18,300","7,504",35.36,38.14
56,앱코,"1,119",31,-2.70%,"1,748,962","1,960","1,110","1,114",567,11.90,8.21
57,블루엠텍,"5,760",280,+5.11%,"1,733,873","9,978","5,790","5,800","1,930",-20.28,N/A
58,고바이오랩,"6,580",820,+14.24%,"1,728,915","10,901","6,110","6,140","1,278",-15.56,-12.79
59,알파녹스,"1,770",20,+1.14%,"1,726,928","3,281","1,787","1,789",303,-3.71,-29.00
60,케이프,"9,380",10,-0.11%,"1,685,197","16,375","9,440","9,450","2,899",14.17,7.47
61,현대바이오,"5,880",160,+2.80%,"1,672,077","10,136","5,830","5,840","5,647",-26.02,-16.36
62,삼현,"15,230",780,+5.40%,"1,629,169","24,531","15,300","15,310","4,829",52.52,N/A
63,푸른기술,"8,650",160,+1.88%,"1,556,330","13,843","8,810","8,820",723,39.32,5.39
64,샌즈랩,"8,500",720,+9.25%,"1,422,439","12,701","8,480","8,500","1,298",-78.70,-5.21
65,청담글로벌,"7,850",890,-10.18%,"1,404,368","11,469","7,860","7,870","1,653",603.85,2.85
66,대창솔루션,449,2,+0.45%,"1,374,695",617,450,451,827,-6.70,-10.84
67,한선엔지니어링,"7,850",40,-0.51%,"1,284,244","10,666","7,880","7,900","1,356",17.41,7.30
68,우양,"5,020",20,+0.40%,"1,282,125","6,350","5,040","5,050",822,-239.05,-3.06
69,케이쓰리아이,"5,200",400,+8.33%,"1,224,142","6,388","5,140","5,150",389,-7.98,N/A
70,강스템바이오텍,"1,178",15,-1.26%,"1,220,391","1,405","1,177","1,178",660,-4.28,-17.52
71,하이젠알앤엠,"36,150","2,100",+6.17%,"1,198,589","44,170","36,250","36,300","11,166",-200.83,-1.92
72,헝셩그룹,231,1,+0.43%,"1,195,631",275,229,230,434,46.20,0.69
73,디앤디파마텍,"158,000","17,800",+12.70%,"1,169,323","178,113","155,800","155,900","17,097",-45.18,-49.03
74,국일신동,"1,704",17,+1.01%,"1,145,387","2,149","1,872","1,873",189,-6.02,-7.58
75,네오이뮨텍,961,39,-3.90%,"1,086,979","1,047",956,957,950,-3.18,-70.17
76,TS트릴리온,219,8,+3.79%,"1,068,624",232,218,219,235,-4.47,-19.64
77,보성파워텍,"3,825",25,+0.66%,"1,066,763","4,116","3,825","3,835","1,879",11.88,6.80
78,더즌,"5,140",40,+0.78%,"1,065,955","5,487","5,140","5,150","3,686",31.93,28.06
79,하이드로리튬,"2,495",55,-2.16%,"1,039,534","2,601","2,480","2,485","1,352",-3.04,-23.16
80,SGA솔루션즈,700,7,-0.99%,"1,009,000",715,706,707,597,-4.67,-20.26
81,유니테스트,"13,970","1,210",+9.48%,"1,008,269","13,873","13,870","13,880","2,952",-13.27,-19.88
82,제주반도체,"16,510",240,+1.48%,"995,518","16,404","16,650","16,660","5,687",47.99,11.44
83,티엑스알로보틱스,"13,770",740,+5.68%,"965,631","13,810","13,790","13,860","2,128",106.74,14.93
84,율호,"1,179",89,-7.02%,"952,676","1,152","1,179","1,186",848,-5.00,-23.33
85,글로벌텍스프리,"4,785",50,-1.03%,"920,163","4,445","4,760","4,765","3,363",16.97,5.60
86,스튜디오미르,"4,865",125,-2.51%,"916,911","4,526","4,920","4,930","1,592",-64.87,0.29
87,팬스타엔터프라이즈,928,1,-0.11%,"882,098",825,931,934,"1,074",14.06,6.67
88,국일제지,468,1,-0.21%,"880,278",411,468,469,"5,276",-66.86,-9.98
89,캔버스엔,"1,076",67,-5.86%,"880,213",975,"1,080","1,083",254,-3.06,-34.96
90,한국선재,"3,495",45,+1.30%,"871,786","3,055","3,485","3,490",892,699.00,-1.02
91,헬릭스미스,"7,050",490,+7.47%,"867,327","6,029","6,970","6,990","3,250",-40.29,-10.43
92,하이록코리아,"35,550","2,550",+7.73%,"857,357","31,114","35,550","35,600","4,371",10.53,11.38
93,파인엠텍,"11,620",200,-1.69%,"847,875","9,854","11,560","11,570","4,374",-14.82,-11.87
94,원텍,"10,140",310,-2.97%,"842,529","8,547","10,080","10,100","9,123",22.74,25.76
95,엔에프씨,"6,730",670,-9.05%,"795,819","5,628","6,800","6,810",601,28.52,-9.03
96,케이씨티,"4,210",40,-0.94%,"773,451","3,290","4,235","4,240",722,48.95,2.58
97,에스엔시스,"51,700","1,000",+1.97%,"770,362","40,842","51,300","51,400","4,879",17.35,28.30
98,알체라,"2,820",120,+4.44%,"757,283","2,154","2,820","2,825","1,092",-10.85,-125.69
99,아이에이,184,1,+0.55%,"736,329",135,183,184,691,-2.79,-25.89
100,우듬지팜,"1,672",28,-1.65%,"712,172","1,199","1,669","1,675",762,79.62,7.49
